Version,Type,Class file formatversion[7],Release date,End of public updates (free),End of extended support (paid)
Java SE 18.0.2[379],2022-07-19,Removed features and optionsRemove the Alternate ThreadLocal Implementation of the Subject::current and Subject::callAs APIs (security-libs/javax.security)Other notesjava.net.InetAddress Updated to Reject Ambiguous IPv4 Address Literals (core-libs/java.net)CPU Shares Ignored When Computing Active Processor Count (hotspot/runtime)Lambda Deserialization Fails for Object Method References on Interfaces (tools/javac)Bug fixes49 bug fixes[380],,,
Java SE 18.0.2.1[381],2022-08-18,ChangesC2 Compilation Errors Unpredictably Crashes JVM (hotspot/compiler),,,
7,,,,,
Foreign function & memory APISwitch pattern matching,,,,,
Vector APIStructured concurrency,,,,,
March 2023(2023-03),,,,,
Java SE 19[383],2022-09-20,Initial release,,,
Java SE 19.0.1[384],2022-10-18,Other notesUpdate Timezone Data to 2022c (core-libs/java.time)New System Property to Limit the Number of Open Connections to com.sun.net.httpserver.HttpServer (core-libs/java.net)Bug fixes6 bug fixes[385],,,
Java SE 19.0.2[386],2023-01-17,New featuresDTLS Resumption Uses HelloVerifyRequest Messages (security-libs/javax.net.ssl)Other notesFXML JavaScript Engine Disabled by Default (javafx/fxml)Bug fixes28 bug fixes[387],,,
7,,,,,
Scoped values,,,,,
September 2023(2023-09),,,,,
Java SE 20[389],2023-03-21,Initial release,,,
Java SE 20.0.1[390],2023-04-18,Other notesSystem Property to Handle HTML ObjectView Creation (client-libs/javax.swing)Added Certigna(Dhimyotis) CA Certificate (security-libs/java.security)File::listRoots Changed to Return All Available Drives on Windows (core-libs/java.io)Bug fixes5 bug fixes[391],,,
Java SE 20.0.2[392],2023-07-18,New featuresSupport for GB18030-2022 (core-libs/java.nio.charsets)Known issuesProblem Upgrading JDK on Windows if System User Is Using Shared Files (install)Other notesMissing /usr/java/default Symlink on Linux Restored (install/install)Installation of JDK RPM Corrupts Alternatives (install/install)Added TWCA Root CA Certificate (security-libs/java.security)Added 4 GTS Root CA Certificates (security-libs/java.security)Added Microsoft Corporation's 2 TLS Root CA Certificates (security-libs/java.security)ASLR Support for CDS Archive (hotspot/runtime)New System Property to Control the Maximum Size of Signature Files (security-libs/java.security)Improved ZIP64 Extra Field Validation (core-libs/java.util.jar)Bug fixes33 bug fixes[393],,,
"September 19, 2023(16 months ago)(2023-09-19)",,,,,
15,,,,,
"Record patterns, pattern matching for switch, virtual threads",,,,,
"String templates, unnamed classes and main methods",,,,,
Vector API,,,,,
Java SE 21[395],2023-09-19,Initial release,,,
Java SE 21.0.1[396],2023-10-17,Other notesAdded Certigna Root CA Certificate (security-libs/java.security)Increase Default Value of the System Property jdk.jar.maxSignatureFileSize (security-libs/java.security)Bug fixes40 bug fixes[397],,,
Java SE 21.0.2[398],2024-01-16,"New featuresTCP_KEEPxxxx Extended Socket Options Are Now Supported on the Windows Platform (core-libs/java.net)Known issuesPotential Performance Regression Due to Limited Range Check Elimination (hotspot/compiler)Issues fixedZGC: Reintroduced Support for Non-Default ObjectAlignmentInBytes (hotspot/compiler)Other notesAdded Four Root Certificates from DigiCert, Inc. (security-libs/java.security)Added Three Root Certificates from eMudhra Technologies Limited (security-libs/java.security)Added Telia Root CA v2 Certificate (security-libs/java.security)Added ISRG Root X2 CA Certificate from Let's Encrypt (security-libs/java.security)NMT: Make Peak Values Available in Release Builds (hotspot/runtime)Add User Facing Warning If THPs Are Enabled but Cannot Be Used (hotspot/runtime)Bug fixes74 bug fixes[399]",,,
Java SE 21.0.3[400],2024-04-16,New featuresUpdate XML Security for Java to 3.0.3 (security-libs/javax.crypto)Known issuesjpackage Apps May Fail to Build on Debian Linux Distros Due to Missing Shared Libraries (tools/jpackage)Other notesAWT SystemTray API Is Not Supported on Most Linux Desktops (client-libs/java.awt)Added Certainly R1 and E1 Root Certificates (security-libs/java.security)Align javac with the Java Language Specification by Rejecting final in Record Patterns (tools/javac)Updates to Third Party LibrariesFreeType 2.13.2 (java.desktop)Xalan Java 2.7.3 (java.xml)XML Security for Java 3.0.3 (java.xml.crypto)Bug fixes27 bug fixes[401],,,
12,,,,,
"Foreign function and memory API, unnamed variables and patterns",,,,,
"Structured concurrency, string templates",,,,,
Vector API,,,,,
September 2024(2024-09),,,,,
12,,,,,
Markdown documentation comments,,,,,
"Primitive types in Patterns, instanceof, and switch, Class-File API, Stream Gatherers, Module import declarations, Implicitly declared classes and instance main methods, structured concurrency, scoped values, flexible constructor bodies",,,,,
Vector API,,,,,
24,,,,,
0,,,,,
JVMJava ME(Micro)Java SE(Standard)Jakarta EE(Enterprise)Java CardAndroid SDKGraalVM,,,,,
SquawkJava Development KitOpenJDKJava virtual machineJavaFXMaxine VM,,,,,
ServletsMIDletsJSPJSFWeb Start(JNLP)Pack200Modulesapplets,,,,,
EclipseGNU ClasspathHibernateSpringGWTIcedTeaJazelleStrutsTopLinkWildFlyblackdownharmony,,,,,
Java version historyJava Community ProcessSun MicrosystemsFree Java implementations,,,,,
JavaBeanShellClojureGroovyJRubyJythonKotlinProcessingRhinoScalaOxygene,,,,,
"ConferencesJavaOneDevoxxOrganizationsApache Software FoundationEclipse FoundationJava Community ProcessOracle CorporationSun Microsystems,Sun Microsystems LaboratoriesPeopleJames GoslingArthur van HoffUrs HölzlePatrick Naughton",JavaOneDevoxx,"Apache Software FoundationEclipse FoundationJava Community ProcessOracle CorporationSun Microsystems,Sun Microsystems Laboratories",James GoslingArthur van HoffUrs HölzlePatrick Naughton,,
JavaOneDevoxx,,,,,
"Apache Software FoundationEclipse FoundationJava Community ProcessOracle CorporationSun Microsystems,Sun Microsystems Laboratories",,,,,
James GoslingArthur van HoffUrs HölzlePatrick Naughton,,,,,
CategoryComputer programming portal,,,,,
"Apache Software FoundationEclipse FoundationJava Community ProcessOracle CorporationSun Microsystems,Sun Microsystems Laboratories",,,,,
James GoslingArthur van HoffUrs HölzlePatrick Naughton,,,,,
